ID;Autor (Ano);DOI;País;Revista;Tipo de estudo;Cultura;Cultura Adj;Bioinsumo;Categoria;Origem;Microrganismo/Ingrediente ativo;Tratamento;Classe;Objetivo;Delineamento;Nº repetições;Forma de aplicação;Dose;Época de aplicação;Condições edafoclimáticas;Tipo de solo;Germinacao (%);Estande inicial (plantas m⁻²);Estande final (plantas m⁻²);Altura de planta (cm);Diâmetro do caule (mm);Comprimento de raiz (cm);Volume radicular (cm³);Área radicular (cm²);Massa fresca da parte aérea (g planta⁻¹);Massa seca da parte aérea (g planta⁻¹);Massa fresca de raízes (g planta⁻¹);Massa seca de raízes (g planta⁻¹);Massa seca total (g planta⁻¹);Área foliar (cm² planta⁻¹);Índice de área foliar (IAF);Número de folhas (planta⁻¹);Número de perfilhos (planta⁻¹);Número de panículas (planta⁻¹);Número de vagens (planta⁻¹);Número de grãos por panícula;Número de grãos por vagem;Peso de 100 grãos (g);Peso de 1.000 grãos (g);Massa de grãos por planta (g planta⁻¹);Produtividade (kg ha⁻¹);Incremento de produtividade (%);Clorofila (SPAD);Fotossíntese líquida (μmol CO₂ m⁻² s⁻¹);Transpiração (mmol H₂O m⁻² s⁻¹);Condutância estomática (mol H₂O m⁻² s⁻¹);Eficiência do uso da água;Nitrogênio foliar (g kg⁻¹);Fósforo foliar (g kg⁻¹);Potássio foliar (g kg⁻¹);Acúmulo de nutrientes (kg ha⁻¹);Incidência de doença (%);Severidade de doença (%);Controle de doença (%);População de pragas;Controle de pragas (%);Biomassa microbiana (mg C kg⁻¹ solo);Respiração basal (mg C-CO₂ kg⁻¹ dia⁻¹);Atividade enzimática (μg pNP g⁻¹ h⁻¹);Colonização micorrízica (%);pH do solo;Matéria orgânica (g dm⁻³);Carbono orgânico (g kg⁻¹);Densidade do solo (g cm⁻³);Porosidade total (%);Umidade do solo (%);Redução de fertilizantes (%);Redução de pesticidas (%);Emissões de GEE (t CO₂ eq ha⁻¹);Sequestro de carbono (Mg C ha⁻¹);Saúde do solo;Eficiência nutricional;Impacto ambiental;Principais resultados;Limitações;Financiamento;Conflito de interesses;Risco de viés (JBI);Observações;Revisor
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Testemunha negativa;Controle em solo normal;Controle em solo normal;Controle;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";58,5;;;;;35;11,2;16,4;4,4;;48,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Testemunha positiva;Controle em solo salino;Controle em solo salino;Controle;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";48;;;;;28,8;8,2;13,6;3,1;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Extrato de Chlorella vulgaris;Extrato de Chlorella vulgaris;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";64;;;;;38,7;12,2;18;5,2;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Extrato de Dunaliella salina;Extrato de Dunaliella salina;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";62;;;;;36,6;11,8;17,5;4,9;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Aplicação combinada dos extratos de Chlorella vulgaris e Dunaliella salina em solo normal;Aplicação combinada dos extratos de Chlorella vulgaris e Dunaliella salina em solo normal;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";67;;;;;40,3;12,6;18,5;5,4;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Aplicação do extrato de Chlorella vulgaris em solo salino;Aplicação do extrato de Chlorella vulgaris em solo salino;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";52;;;;;31,2;10,4;15,4;3,7;;26,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Aplicação do extrato de Dunaliella salina em solo salino;Aplicação do extrato de Dunaliella salina em solo salino;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";50,5;;;;;30;10;14,6;3,4;;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
2;Senousy et al. (2023);https://doi.org/10.3390/plants12213714;Egito, China, Arábia Saudita e Paquistão;Plants;Experimento em casa de vegetação;Feijão comum (Phaseolus vulgaris);Feijão;Extratos de microalgas;Bioestimulante;Microalgas;Aplicação combinada dos extratos de Chlorella vulgaris e Dunaliella salina em solo salino;Aplicação combinada dos extratos de Chlorella vulgaris e Dunaliella salina em solo salino;Extratos vegetais;Avaliar o efeito de extratos de microalgas na tolerância à salinidade em feijão.;"Fatorial com condições salinas e tratamentos com extratos de algas; comparação por teste de Duncan";;;;;;;;Os extratos aumentaram crescimento, fotossíntese, antioxidantes, osmólitos e reduziram danos oxidativos, melhorando a tolerância à salinidade.;"Estudo conduzido em ambiente controlado; requer validação em campo.";54,5;;;;;32,5;10,7;15,9;4,1;;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
4;Christopher et al. (2023);https://doi.org/10.1016/j.napere.2023.100057;Tanzânia;Journal of Natural Pesticide Research;In vitro;Feijão comum (Phaseolus vulgaris);Feijão;Extratos vegetais de Leonotis nepetifolia;Biofungicida botânico;Vegetal;Extrato de Leonotis nepetifolia;LN_EA_0.5;Extratos vegetais;Avaliar a atividade antifúngica de extratos de Leonotis nepetifolia contra Colletotrichum spp. causador da antracnose do feijoeiro e caracterizar os compostos por LC-MS.;DIC;4;Incorporado ao meio PDA;0.5 mg/mL;;;;;Extrato em acetato de etila inibiu 100% do crescimento micelial em 2,5 e 5,0 mg/mL. Em campo reduziu incidência da antracnose e aumentou o peso de 100 sementes.;Necessidade de validação em diferentes condições de cultivo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
4;Christopher et al. (2023);https://doi.org/10.1016/j.napere.2023.100058;Tanzânia;Journal of Natural Pesticide Research;In vitro;Feijão comum (Phaseolus vulgaris);Feijão;Extratos vegetais de Leonotis nepetifolia;Biofungicida botânico;Vegetal;Extrato de Leonotis nepetifolia;LN_EA_1.25;Extratos vegetais;Avaliar a atividade antifúngica de extratos de Leonotis nepetifolia contra Colletotrichum spp. causador da antracnose do feijoeiro e caracterizar os compostos por LC-MS.;DIC;4;Incorporado ao meio PDA;1.25 mg/mL;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wilhan
